,inode,id,datetime,computer_name,source_name,filename_type,filename_security,filename_application,filename_system,filename_rdp,filename_powershell,filename_other,recovered,user_sid,execution_process_id,channel,event_id,audit_account_logon,audit_account_management,audit_detailed_tracking,audit_logon_logoff,audit_ds_access,audit_object_access,audit_policy_change,audit_privilege_usage,audit_system,task,keywords,keywords_audit_failure,keywords_audit_success,keywords_correlation_hint,keywords_event_log_classic,keywords_sqm,keywords_wdi_context,keywords_wdi_diagnostic,timestamp,epochtime,hour,minute
981278,59017,6f3e891c-b52a-4f5c-ad07-4516d2458517,2010-11-21 03:58:31,37L4247F27-25, Service Control Manager ,System,0,0,1,0,0,0,0,None,524,System,7036,0,0,0,0,0,0,0,0,0,0,0x8080000000000000,0,0,0,1,0,0,0,2010-11-21 03:58:31,1290311911.0,3,58
981279,59017,3bcef9db-5cee-4fe6-8ca0-256f2e66256b,2010-11-21 03:58:31,37L4247F27-25, Service Control Manager ,System,0,0,1,0,0,0,0,None,524,System,7036,0,0,0,0,0,0,0,0,0,0,0x8080000000000000,0,0,0,1,0,0,0,2010-11-21 03:58:31,1290311911.0,3,58
981280,59017,c55c6760-2a26-4138-8243-4858cf86fb8a,2010-11-21 03:58:31,37L4247F27-25, Service Control Manager ,System,0,0,1,0,0,0,0,None,524,System,7036,0,0,0,0,0,0,0,0,0,0,0x8080000000000000,0,0,0,1,0,0,0,2010-11-21 03:58:31,1290311911.0,3,58
981281,59017,c7deb6ed-476c-41bf-9b65-857894c54a95,2010-11-21 03:58:31,37L4247F27-25, Service Control Manager ,System,0,0,1,0,0,0,0,None,524,System,7036,0,0,0,0,0,0,0,0,0,0,0x8080000000000000,0,0,0,1,0,0,0,2010-11-21 03:58:31,1290311911.0,3,58
981282,59017,42b44898-2980-4f72-9fcf-4e949f22ecba,2010-11-21 03:58:31,37L4247F27-25, Service Control Manager ,System,0,0,1,0,0,0,0,None,524,System,7036,0,0,0,0,0,0,0,0,0,0,0x8080000000000000,0,0,0,1,0,0,0,2010-11-21 03:58:31,1290311911.0,3,58
981283,59017,8d86bd29-dec6-41dc-9f74-dfc7f2b33bd2,2010-11-21 03:58:31,37L4247F27-25, Service Control Manager ,System,0,0,1,0,0,0,0,None,524,System,7036,0,0,0,0,0,0,0,0,0,0,0x8080000000000000,0,0,0,1,0,0,0,2010-11-21 03:58:31,1290311911.0,3,58
981284,59017,bc1639bc-c9cb-47bf-9965-e5664e03ce30,2010-11-21 03:58:31,37L4247F27-25, Microsoft-Windows-UserPnp ,System,0,0,1,0,0,0,0,None,656,System,20010,0,0,0,0,0,0,0,0,0,7010,0x8000000000000000,0,0,0,1,0,0,0,2010-11-21 03:58:31,1290311911.0,3,58
981285,59017,81a62494-bc68-4bd1-9013-e6f8b4470246,2010-11-21 03:58:31,37L4247F27-25, Microsoft-Windows-UserPnp ,System,0,0,1,0,0,0,0,None,656,System,20010,0,0,0,0,0,0,0,0,0,7010,0x8000000000000000,0,0,0,1,0,0,0,2010-11-21 03:58:31,1290311911.0,3,58
981286,59017,c6a61887-cc37-490c-bae5-36dbd02cbd71,2010-11-21 03:58:31,37L4247F27-25, Service Control Manager ,System,0,0,1,0,0,0,0,None,524,System,7036,0,0,0,0,0,0,0,0,0,0,0x8080000000000000,0,0,0,1,0,0,0,2010-11-21 03:58:31,1290311911.0,3,58
981287,59017,f66f0856-3069-4a58-a569-5fae453fc131,2010-11-21 03:58:31,37L4247F27-25, Service Control Manager ,System,0,0,1,0,0,0,0,None,524,System,7036,0,0,0,0,0,0,0,0,0,0,0x8080000000000000,0,0,0,1,0,0,0,2010-11-21 03:58:31,1290311911.0,3,58
981288,59017,3ecf77d2-c813-4070-9dd1-ab1afcbc6bea,2010-11-21 03:58:31,37L4247F27-25, Service Control Manager ,System,0,0,1,0,0,0,0,None,524,System,7036,0,0,0,0,0,0,0,0,0,0,0x8080000000000000,0,0,0,1,0,0,0,2010-11-21 03:58:31,1290311911.0,3,58
981289,59017,d1f5b54a-7760-4440-b65b-311c0ef7e8b7,2010-11-21 03:58:31,37L4247F27-25, Service Control Manager ,System,0,0,1,0,0,0,0,None,524,System,7036,0,0,0,0,0,0,0,0,0,0,0x8080000000000000,0,0,0,1,0,0,0,2010-11-21 03:58:31,1290311911.0,3,58
